plot_id,inv_year,timestep,treatment,sdi_metric,max_sdi,rel_sdi,sdi_zone,comp
0040-00002,2020,post_18,control,839.15999676994,1359.07839658402,61.7447822641527,>60,0040
0040-00003,2020,post_18,control,944.623017192503,1359.07839658402,69.5046746064664,>60,0040
0040-00005,2020,post_18,control,1108.60128428405,1359.07839658402,81.5700762421413,>60,0040
0040-00007,2020,post_18,control,795.6341263408,1359.07839658402,58.5421803731551,35-60,0040
0040-00012,2020,post_18,control,971.982232094115,1359.07839658402,71.5177457413162,>60,0040
0040-00101,2020,post_18,control,880.523442189452,1359.07839658402,64.7882744956146,>60,0040
0040-00103,2020,post_18,control,1282.30796627701,1359.07839658402,94.3512875710503,>60,0040
0040-00104,2020,post_18,control,1192.57933496833,1359.07839658402,87.7491201365441,>60,0040
0040-00105,2020,post_18,control,1366.05392079385,1359.07839658402,100.513253998251,>60,0040
0040-00106,2020,post_18,control,1037.64868067257,1359.07839658402,76.3494352703021,>60,0040
0040-00107,2020,post_18,control,707.53405500176,1359.07839658402,52.0598411968077,35-60,0040
0040-00108,2020,post_18,control,688.379556259492,1359.07839658402,50.6504671098962,35-60,0040
0040-00109,2020,post_18,control,1279.53242045108,1359.07839658402,94.1470649277571,>60,0040
0040-00110,2020,post_18,control,1616.70973972107,1359.07839658402,118.956326859775,>60,0040
0040-00111,2020,post_18,control,1091.3065394931,1359.07839658402,80.2975414984189,>60,0040
0040-00112,2020,post_18,control,769.108769636537,1359.07839658402,56.5904639180239,35-60,0040
0040-00113,2020,post_18,control,1293.04045794048,1359.07839658402,95.1409765021998,>60,0040
0040-00114,2020,post_18,control,795.128045122357,1359.07839658402,58.5049432851611,35-60,0040
0040-00115,2020,post_18,control,990.463964382048,1359.07839658402,72.8776181618025,>60,0040
0040-00116,2020,post_18,control,950.361258728919,1359.07839658402,69.9268902454494,>60,0040
0060-00021,2020,post_18,burn,579.699413697679,1359.07839658402,42.6538612603016,35-60,0060
0060-00027,2020,post_18,burn,537.615570908343,1359.07839658402,39.5573627142934,35-60,0060
0060-00101,2020,post_18,burn,913.862476578175,1359.07839658402,67.2413363993664,>60,0060
0060-00102,2020,post_18,burn,636.424408493094,1359.07839658402,46.8276451228066,35-60,0060
0060-00103,2020,post_18,burn,711.331025832161,1359.07839658402,52.3392195490753,35-60,0060
0060-00104,2020,post_18,burn,742.882623554971,1359.07839658402,54.6607631629031,35-60,0060
0060-00105,2020,post_18,burn,779.313676649084,1359.07839658402,57.3413335542566,35-60,0060
0060-00106,2020,post_18,burn,819.383615782242,1359.07839658402,60.2896505339004,>60,0060
0060-00107,2020,post_18,burn,396.473632073365,1359.07839658402,29.1722415034985,25-35,0060
0060-00108,2020,post_18,burn,59.91700931164,1359.07839658402,4.4086499691437,<25,0060
0060-00109,2020,post_18,burn,909.170717787982,1359.07839658402,66.8961201997723,>60,0060
0060-00111,2020,post_18,burn,674.254491267893,1359.07839658402,49.6111551005888,35-60,0060
0060-00112,2020,post_18,burn,657.896720000038,1359.07839658402,48.4075621872609,35-60,0060
0060-00113,2020,post_18,burn,586.593263540361,1359.07839658402,43.1611057180172,35-60,0060
0060-00114,2020,post_18,burn,684.585538468353,1359.07839658402,50.3713060401098,35-60,0060
0060-00116,2020,post_18,burn,625.199810156044,1359.07839658402,46.0017473405107,35-60,0060
0060-00117,2020,post_18,burn,723.254524268045,1359.07839658402,53.2165418923524,35-60,0060
0060-00119,2020,post_18,burn,959.290042456413,1359.07839658402,70.5838636584575,>60,0060
0060-00130,2020,post_18,burn,753.749747982072,1359.07839658402,55.4603582748859,35-60,0060
0180-00004,2020,post_18,mechburn,594.991168397869,1359.07839658402,43.7790174498655,35-60,0180
0180-00008,2020,post_18,mechburn,176.598406795983,1359.07839658402,12.9939823368435,<25,0180
0180-00010,2020,post_18,mechburn,138.643891627183,1359.07839658402,10.201316714007,<25,0180
0180-00013,2020,post_18,mechburn,270.072761713491,1359.07839658402,19.8717573903247,<25,0180
0180-00018,2020,post_18,mechburn,270.882646359471,1359.07839658402,19.9313481135689,<25,0180
0180-00102,2020,post_18,mechburn,286.73096554086,1359.07839658402,21.0974559128852,<25,0180
0180-00107,2020,post_18,mechburn,586.399900421886,1359.07839658402,43.1468782003875,35-60,0180
0180-00108,2020,post_18,mechburn,637.801162444399,1359.07839658402,46.928945677268,35-60,0180
0180-00109,2020,post_18,mechburn,633.828509976552,1359.07839658402,46.6366407978856,35-60,0180
0180-00110,2020,post_18,mechburn,82.7851379914678,1359.07839658402,6.09127024603912,<25,0180
0180-00111,2020,post_18,mechburn,544.040864735662,1359.07839658402,40.0301311611666,35-60,0180
0180-00114,2020,post_18,mechburn,399.26506280045,1359.07839658402,29.377632946266,25-35,0180
0180-00117,2020,post_18,mechburn,202.029000539915,1359.07839658402,14.8651469295448,<25,0180
0180-00120,2020,post_18,mechburn,80.9274550285629,1359.07839658402,5.95458328467073,<25,0180
0180-00121,2020,post_18,mechburn,550.327599946695,1359.07839658402,40.4927045658233,35-60,0180
0190-00010,2020,post_18,mech,548.954038149921,1359.07839658402,40.391638887770704,35-60,0190
0190-00024,2020,post_18,mech,774.080600659381,1359.07839658402,56.9562876288077,35-60,0190
0190-00025,2020,post_18,mech,420.289097938734,1359.07839658402,30.9245661615336,25-35,0190
0190-00026,2020,post_18,mech,617.082525164879,1359.07839658402,45.4044834143408,35-60,0190
0190-00027,2020,post_18,mech,377.136603728206,1359.07839658402,27.7494370211551,25-35,0190
0190-00102,2020,post_18,mech,1023.24261557966,1359.07839658402,75.2894474779038,>60,0190
0190-00104,2020,post_18,mech,654.233146318864,1359.07839658402,48.1379991002174,35-60,0190
0190-00106,2020,post_18,mech,342.769368278883,1359.07839658402,25.2207208311469,25-35,0190
0190-00108,2020,post_18,mech,493.77351379052,1359.07839658402,36.3314960366964,35-60,0190
0190-00110,2020,post_18,mech,587.927249920649,1359.07839658402,43.2592594657069,35-60,0190
0190-00111,2020,post_18,mech,784.781177863166,1359.07839658402,57.7436283172242,35-60,0190
0190-00113,2020,post_18,mech,1066.7578426415,1359.07839658402,78.4912662376764,>60,0190
0190-00114,2020,post_18,mech,945.428204374547,1359.07839658402,69.5639196937305,>60,0190
0190-00116,2020,post_18,mech,860.958929403715,1359.07839658402,63.3487318735767,>60,0190
0240-00003,2020,post_18,control,742.31032272927,1359.07839658402,54.6186536843668,35-60,0240
0240-00005,2020,post_18,control,740.452981609636,1359.07839658402,54.4819918755777,35-60,0240
0240-00007,2020,post_18,control,793.314888224632,1359.07839658402,58.3715325192861,35-60,0240
0240-00009,2020,post_18,control,1055.47388451674,1359.07839658402,77.6610008053713,>60,0240
0240-00022,2020,post_18,control,1613.12632347991,1359.07839658402,118.692661698871,>60,0240
0240-00026,2020,post_18,control,945.630851363133,1359.07839658402,69.578830311771,>60,0240
0240-00101,2020,post_18,control,914.002876855793,1359.07839658402,67.2516669496843,>60,0240
0240-00102,2020,post_18,control,1148.85624771126,1359.07839658402,84.5320071747781,>60,0240
0240-00104,2020,post_18,control,888.301391887544,1359.07839658402,65.3605703777095,>60,0240
0240-00105,2020,post_18,control,1057.76256593392,1359.07839658402,77.829400319552,>60,0240
0240-00106,2020,post_18,control,1320.32813086145,1359.07839658402,97.1487836301451,>60,0240
0240-00107,2020,post_18,control,616.134630869068,1359.07839658402,45.3347380414327,35-60,0240
0240-00109,2020,post_18,control,1060.35085271439,1359.07839658402,78.0198445784684,>60,0240
0240-00110,2020,post_18,control,566.911508890689,1359.07839658402,41.7129365248977,35-60,0240
0240-00112,2020,post_18,control,677.903288555932,1359.07839658402,49.879630951372,35-60,0240
0240-00113,2020,post_18,control,1335.90127894588,1359.07839658402,98.2946445402712,>60,0240
0240-00114,2020,post_18,control,1209.15629923632,1359.07839658402,88.9688411114089,>60,0240
0240-00115,2020,post_18,control,1388.08272333629,1359.07839658402,102.134117268376,>60,0240
0340-00006,2020,post_18,burn,570.061208247098,1359.07839658402,41.9446891128519,35-60,0340
0340-00013,2020,post_18,burn,840.378601339414,1359.07839658402,61.8344463021167,>60,0340
0340-00024,2020,post_18,burn,1158.56304626573,1359.07839658402,85.2462263529263,>60,0340
0340-00025,2020,post_18,burn,599.063396469162,1359.07839658402,44.0786490297308,35-60,0340
0340-00026,2020,post_18,burn,417.229350308593,1359.07839658402,30.6994321561788,25-35,0340
0340-00103,2020,post_18,burn,472.628345144952,1359.07839658402,34.77564990606,25-35,0340
0340-00104,2020,post_18,burn,661.362724137788,1359.07839658402,48.6625882509863,35-60,0340
0340-00108,2020,post_18,burn,904.476632578291,1359.07839658402,66.5507328239233,>60,0340
0340-00109,2020,post_18,burn,665.058051347361,1359.07839658402,48.934487739556,35-60,0340
0340-00111,2020,post_18,burn,536.402351194089,1359.07839658402,39.4680948900602,35-60,0340
0340-00112,2020,post_18,burn,1035.81793951927,1359.07839658402,76.2147306676903,>60,0340
0340-00113,2020,post_18,burn,304.160992077585,1359.07839658402,22.3799445890745,<25,0340
0340-00114,2020,post_18,burn,717.227885818984,1359.07839658402,52.7731062182803,35-60,0340
0340-00115,2020,post_18,burn,537.51207843314,1359.07839658402,39.5497478132352,35-60,0340
0340-00116,2020,post_18,burn,660.995334862662,1359.07839658402,48.6355560153148,35-60,0340
0340-00117,2020,post_18,burn,469.302493199869,1359.07839658402,34.5309361387422,25-35,0340
0340-00121,2020,post_18,burn,872.388282814043,1359.07839658402,64.1896953852516,>60,0340
0340-00122,2020,post_18,burn,584.709246931406,1359.07839658402,43.0224811461242,35-60,0340
0340-00123,2020,post_18,burn,842.538487474858,1359.07839658402,61.9933691531364,>60,0340
0340-00124,2020,post_18,burn,355.129579466336,1359.07839658402,26.1301761810752,25-35,0340
0350-00002,2020,post_18,mech,559.238949912878,1359.07839658402,41.1483952153533,35-60,0350
0350-00003,2020,post_18,mech,348.99618322918,1359.07839658402,25.6788853465971,25-35,0350
0350-00005,2020,post_18,mech,640.038906248874,1359.07839658402,47.0935972389512,35-60,0350
0350-00101,2020,post_18,mech,387.382086097742,1359.07839658402,28.5032921626456,25-35,0350
0350-00102,2020,post_18,mech,554.43630650781,1359.07839658402,40.7950202064399,35-60,0350
0350-00103,2020,post_18,mech,1043.00150375689,1359.07839658402,76.7432920998837,>60,0350
0350-00105,2020,post_18,mech,613.584094391725,1359.07839658402,45.1470714223654,35-60,0350
0350-00106,2020,post_18,mech,487.710512512873,1359.07839658402,35.8853848121426,35-60,0350
0350-00109,2020,post_18,mech,649.625467839029,1359.07839658402,47.7989694687101,35-60,0350
0350-00110,2020,post_18,mech,410.642739306838,1359.07839658402,30.2147941089322,25-35,0350
0350-00111,2020,post_18,mech,968.009501623333,1359.07839658402,71.2254351225346,>60,0350
0350-00112,2020,post_18,mech,623.42214514472,1359.07839658402,45.8709480418248,35-60,0350
0350-00113,2020,post_18,mech,338.44067286842,1359.07839658402,24.9022185709872,<25,0350
0350-00115,2020,post_18,mech,295.979482979578,1359.07839658402,21.7779550998315,<25,0350
0350-00116,2020,post_18,mech,816.602848303532,1359.07839658402,60.0850436851933,>60,0350
0350-00117,2020,post_18,mech,589.565128788719,1359.07839658402,43.3797734016348,35-60,0350
0350-00119,2020,post_18,mech,782.543630388712,1359.07839658402,57.5789912013612,35-60,0350
0380-00002,2020,post_18,mechburn,265.874277609061,1359.07839658402,19.5628359833638,<25,0380
0380-00004,2020,post_18,mechburn,714.498433345121,1359.07839658402,52.5722750903098,35-60,0380
0380-00006,2020,post_18,mechburn,405.400434372362,1359.07839658402,29.8290691244388,25-35,0380
0380-00010,2020,post_18,mechburn,372.025475372427,1359.07839658402,27.3733639139211,25-35,0380
0380-00015,2020,post_18,mechburn,446.346199390036,1359.07839658402,32.8418287357011,25-35,0380
0380-00102,2020,post_18,mechburn,349.562323468855,1359.07839658402,25.720541533694,25-35,0380
0380-00104,2020,post_18,mechburn,408.793195893167,1359.07839658402,30.0787060496768,25-35,0380
0380-00107,2020,post_18,mechburn,412.514207765133,1359.07839658402,30.3524953970256,25-35,0380
0380-00110,2020,post_18,mechburn,239.742791220423,1359.07839658402,17.6401002196051,<25,0380
0380-00112,2020,post_18,mechburn,581.157074610007,1359.07839658402,42.7611148901137,35-60,0380
0380-00113,2020,post_18,mechburn,135.370325967502,1359.07839658402,9.96045013354264,<25,0380
0380-00114,2020,post_18,mechburn,477.02162667093,1359.07839658402,35.0989043656277,35-60,0380
0380-00117,2020,post_18,mechburn,686.354764736132,1359.07839658402,50.501484422183,35-60,0380
0380-00118,2020,post_18,mechburn,431.38388208483,1359.07839658402,31.7409123100694,25-35,0380
0380-00119,2020,post_18,mechburn,524.668645782323,1359.07839658402,38.6047373794664,35-60,0380
0380-00120,2020,post_18,mechburn,878.469269551794,1359.07839658402,64.6371299668795,>60,0380
0380-00125,2020,post_18,mechburn,362.069956054316,1359.07839658402,26.6408440428721,25-35,0380
0380-00126,2020,post_18,mechburn,230.544728159609,1359.07839658402,16.9633134290908,<25,0380
0400-00002,2020,post_18,burn,298.529567096293,1359.07839658402,21.9655884345328,<25,0400
0400-00009,2020,post_18,burn,824.129318778175,1359.07839658402,60.6388359089208,>60,0400
0400-00022,2020,post_18,burn,800.48723498873,1359.07839658402,58.8992685779362,35-60,0400
0400-00023,2020,post_18,burn,479.996817635063,1359.07839658402,35.3178167529933,35-60,0400
0400-00024,2020,post_18,burn,892.497902803237,1359.07839658402,65.6693465988783,>60,0400
0400-00101,2020,post_18,burn,721.897590729263,1359.07839658402,53.1166997094296,35-60,0400
0400-00102,2020,post_18,burn,510.439148252497,1359.07839658402,37.5577412999472,35-60,0400
0400-00103,2020,post_18,burn,615.438204049407,1359.07839658402,45.2834954625342,35-60,0400
0400-00104,2020,post_18,burn,796.599338860784,1359.07839658402,58.6132000084028,35-60,0400
0400-00105,2020,post_18,burn,1111.53076619407,1359.07839658402,81.7856253905475,>60,0400
0400-00106,2020,post_18,burn,1464.06414847943,1359.07839658402,107.72477527119,>60,0400
0400-00108,2020,post_18,burn,568.115260100346,1359.07839658402,41.8015076634488,35-60,0400
0400-00109,2020,post_18,burn,765.792434726595,1359.07839658402,56.3464504072303,35-60,0400
0400-00110,2020,post_18,burn,557.973168524862,1359.07839658402,41.0552599413914,35-60,0400
0400-00112,2020,post_18,burn,758.821357501071,1359.07839658402,55.8335236148506,35-60,0400
0400-00116,2020,post_18,burn,514.527818357874,1359.07839658402,37.8585826727227,35-60,0400
0400-00118,2020,post_18,burn,933.464384029509,1359.07839658402,68.6836304937029,>60,0400
0400-00119,2020,post_18,burn,605.831160431893,1359.07839658402,44.5766161800984,35-60,0400
0400-00120,2020,post_18,burn,780.894298048097,1359.07839658402,57.4576345272531,35-60,0400
0400-00121,2020,post_18,burn,985.16239762051,1359.07839658402,72.4875327351734,>60,0400
0490-00004,2020,post_18,mech,374.012785971436,1359.07839658402,27.5195887824794,25-35,0490
0490-00008,2020,post_18,mech,487.470251643973,1359.07839658402,35.8677065921441,35-60,0490
0490-00018,2020,post_18,mech,315.123928079306,1359.07839658402,23.1865894470367,<25,0490
0490-00020,2020,post_18,mech,260.191597778715,1359.07839658402,19.1447085343049,<25,0490
0490-00033,2020,post_18,mech,362.511453872634,1359.07839658402,26.6733291312547,25-35,0490
0490-00035,2020,post_18,mech,518.528329135641,1359.07839658402,38.1529373462883,35-60,0490
0490-00041,2020,post_18,mech,815.810000318464,1359.07839658402,60.0267065070687,>60,0490
0490-00042,2020,post_18,mech,343.650314866429,1359.07839658402,25.2855402403701,25-35,0490
0490-00102,2020,post_18,mech,557.931987834523,1359.07839658402,41.0522298961458,35-60,0490
0490-00103,2020,post_18,mech,747.719021661437,1359.07839658402,55.0166218181964,35-60,0490
0490-00104,2020,post_18,mech,531.946397648287,1359.07839658402,39.1402290688536,35-60,0490
0490-00105,2020,post_18,mech,534.105777252448,1359.07839658402,39.2991146496699,35-60,0490
0490-00110,2020,post_18,mech,479.271338905481,1359.07839658402,35.2644365556915,35-60,0490
0490-00115,2020,post_18,mech,816.035030243732,1359.07839658402,60.0432640453118,>60,0490
0490-00117,2020,post_18,mech,421.461329767195,1359.07839658402,31.0108181269395,25-35,0490
0490-00120,2020,post_18,mech,636.021095427448,1359.07839658402,46.7979696407549,35-60,0490
0490-00122,2020,post_18,mech,785.968078049909,1359.07839658402,57.8309595697646,35-60,0490
0490-00124,2020,post_18,mech,472.21810404113,1359.07839658402,34.745464663998,25-35,0490
0490-00125,2020,post_18,mech,642.181310298156,1359.07839658402,47.2512337707854,35-60,0490
0490-00126,2020,post_18,mech,653.345409401979,1359.07839658402,48.0726800634999,35-60,0490
0570-00011,2020,post_18,mechburn,680.099071774469,1359.07839658402,50.0411950836587,35-60,0570
0570-00013,2020,post_18,mechburn,527.516101256022,1359.07839658402,38.8142510823445,35-60,0570
0570-00017,2020,post_18,mechburn,618.192190620616,1359.07839658402,45.4861317915444,35-60,0570
0570-00023,2020,post_18,mechburn,631.084715689346,1359.07839658402,46.4347544097198,35-60,0570
0570-00025,2020,post_18,mechburn,250.408299315609,1359.07839658402,18.4248605485157,<25,0570
0570-00101,2020,post_18,mechburn,708.649947776514,1359.07839658402,52.1419477756157,35-60,0570
0570-00102,2020,post_18,mechburn,406.718484609702,1359.07839658402,29.9260503023203,25-35,0570
0570-00103,2020,post_18,mechburn,507.904875008854,1359.07839658402,37.3712713177878,35-60,0570
0570-00104,2020,post_18,mechburn,285.057396140453,1359.07839658402,20.9743158935446,<25,0570
0570-00105,2020,post_18,mechburn,533.460265126405,1359.07839658402,39.251618336899,35-60,0570
0570-00106,2020,post_18,mechburn,747.670804507893,1359.07839658402,55.0130740351057,35-60,0570
0570-00107,2020,post_18,mechburn,663.922606540848,1359.07839658402,48.8509425364708,35-60,0570
0570-00110,2020,post_18,mechburn,376.657089069912,1359.07839658402,27.7141546813357,25-35,0570
0570-00111,2020,post_18,mechburn,676.019404373088,1359.07839658402,49.7410161232959,35-60,0570
0570-00112,2020,post_18,mechburn,704.522429029913,1359.07839658402,51.8382479480726,35-60,0570
0570-00113,2020,post_18,mechburn,668.312834428031,1359.07839658402,49.1739723115168,35-60,0570
0570-00115,2020,post_18,mechburn,440.935052495828,1359.07839658402,32.4436804826048,25-35,0570
0570-00119,2020,post_18,mechburn,617.784945070806,1359.07839658402,45.456166960168,35-60,0570
0590-00005,2020,post_18,control,1270.96557332018,1359.07839658402,93.5167225462999,>60,0590
0590-00009,2020,post_18,control,1009.04529465942,1359.07839658402,74.2448189299168,>60,0590
0590-00013,2020,post_18,control,975.958203607782,1359.07839658402,71.8102948336761,>60,0590
0590-00021,2020,post_18,control,587.339755120719,1359.07839658402,43.216032025597,35-60,0590
0590-00101,2020,post_18,control,659.193676607513,1359.07839658402,48.5029913111979,35-60,0590
0590-00102,2020,post_18,control,1047.8739613449,1359.07839658402,77.1018039856037,>60,0590
0590-00104,2020,post_18,control,897.095003437322,1359.07839658402,66.0075979201883,>60,0590
0590-00105,2020,post_18,control,1057.87952023212,1359.07839658402,77.8380057317557,>60,0590
0590-00106,2020,post_18,control,1476.41269825845,1359.07839658402,108.633372583167,>60,0590
0590-00107,2020,post_18,control,1320.2997223272,1359.07839658402,97.1466933508554,>60,0590
0590-00109,2020,post_18,control,1359.39290942307,1359.07839658402,100.023141625961,>60,0590
0590-00111,2020,post_18,control,1637.55233840438,1359.07839658402,120.489910112639,>60,0590
0590-00113,2020,post_18,control,715.305278401644,1359.07839658402,52.6316421627723,35-60,0590
0590-00115,2020,post_18,control,1016.69207751438,1359.07839658402,74.8074636510877,>60,0590
0590-00116,2020,post_18,control,869.830703659339,1359.07839658402,64.0015105711061,>60,0590
0590-00117,2020,post_18,control,488.503251090567,1359.07839658402,35.9437139401522,35-60,0590
0590-00118,2020,post_18,control,1276.33913181425,1359.07839658402,93.9121050722509,>60,0590
