treatment,comp,timestep,plot_id,surface_mgha,log_surface_mgha
control,0040,post_18,0040-00002,136.8984771226883,4.946231306055293
control,0040,post_18,0040-00003,41.55152672803887,3.8132401338874207
control,0040,post_18,0040-00005,97.64804851152084,4.619008901505226
control,0040,post_18,0040-00007,70.16233151065978,4.302818023738016
control,0040,post_18,0040-00012,68.14096871862543,4.275087256397367
control,0040,post_18,0040-00101,53.7153092942432,4.051102143631137
control,0040,post_18,0040-00103,51.45016461137469,4.010883375443826
control,0040,post_18,0040-00104,92.1046021104288,4.5627849387362485
control,0040,post_18,0040-00105,109.71255200204227,4.731432679159132
control,0040,post_18,0040-00106,78.45936160037706,4.4092137488583845
control,0040,post_18,0040-00107,83.24324642028623,4.465778102006952
control,0040,post_18,0040-00108,40.20844310482171,3.7831410382315975
control,0040,post_18,0040-00109,177.25347342747568,5.198491043922774
control,0040,post_18,0040-00110,93.6994258751245,4.579286769275294
control,0040,post_18,0040-00111,74.55127752203862,4.360505716917949
control,0040,post_18,0040-00112,180.0128841952471,5.213621454409946
control,0040,post_18,0040-00113,64.4175660806987,4.221902026901361
control,0040,post_18,0040-00114,290.40597060701987,5.684094646580905
control,0040,post_18,0040-00115,32.8438821140672,3.5997565306713684
control,0040,post_18,0040-00116,67.35155977465462,4.264045178977258
control,0240,post_18,0240-00003,105.4702793290962,4.693325029098995
control,0240,post_18,0240-00005,50.79078498776343,3.998865212107345
control,0240,post_18,0240-00007,30.437595141594752,3.5317295563669604
control,0240,post_18,0240-00009,79.1221840710127,4.417244478487242
control,0240,post_18,0240-00022,57.79747747130042,4.119734823073738
control,0240,post_18,0240-00026,68.26821803059342,4.276855835703007
control,0240,post_18,0240-00101,38.04386663336501,3.732640553232653
control,0240,post_18,0240-00102,80.96605061662417,4.439251288831077
control,0240,post_18,0240-00104,55.61729623012944,4.083666741608643
control,0240,post_18,0240-00105,41.00865136222377,3.801182931684407
control,0240,post_18,0240-00106,201.18823008926114,5.322686380229525
control,0240,post_18,0240-00107,93.05092102729395,4.572609430498201
control,0240,post_18,0240-00109,35.65015903111642,3.6736541831135563
control,0240,post_18,0240-00110,79.51063564936497,4.421921141402774
control,0240,post_18,0240-00112,78.20039229401311,4.406058482186221
control,0240,post_18,0240-00113,82.56532730815084,4.457954389547413
control,0240,post_18,0240-00114,55.42723731598666,4.080459951972758
control,0240,post_18,0240-00115,57.300355252439076,4.111624371310317
control,0590,post_18,0590-00005,94.09321817876821,4.583319806140593
control,0590,post_18,0590-00009,45.321624680575354,3.8931880877139062
control,0590,post_18,0590-00013,58.91892625669118,4.137793010564749
control,0590,post_18,0590-00021,92.31813147348717,4.56501020499855
control,0590,post_18,0590-00101,224.17243349822638,5.428985372687937
control,0590,post_18,0590-00102,31.72477808766473,3.568693498096292
control,0590,post_18,0590-00104,49.15219546991776,3.9683586939469646
control,0590,post_18,0590-00105,70.00230454443897,4.300650451175365
control,0590,post_18,0590-00106,81.08437596521462,4.440647118156521
control,0590,post_18,0590-00107,116.64029781500274,4.790701092984572
control,0590,post_18,0590-00109,42.05054288015776,3.8241964398298363
control,0590,post_18,0590-00111,72.75122110493174,4.337247131667349
control,0590,post_18,0590-00113,322.2209550764903,5.7867943022602715
control,0590,post_18,0590-00115,97.2182733438159,4.6147612068564845
control,0590,post_18,0590-00116,12.369426200514301,2.779742390331538
control,0590,post_18,0590-00117,33.27726554152623,3.6115314651446155
control,0590,post_18,0590-00118,34.27235838375937,3.638054503994915
mech,0190,post_18,0190-00010,99.18762362791425,4.634078937133851
mech,0190,post_18,0190-00024,113.01872288136,4.760156223218917
mech,0190,post_18,0190-00025,71.19382720879561,4.3166780531989675
mech,0190,post_18,0190-00026,55.239606864866474,4.077284017415306
mech,0190,post_18,0190-00027,51.70130653947261,4.015423090006778
mech,0190,post_18,0190-00102,40.75063269234273,3.7954009955982873
mech,0190,post_18,0190-00104,86.84329075618653,4.506329852367929
mech,0190,post_18,0190-00106,326.86932296840484,5.800953848137505
mech,0190,post_18,0190-00108,19.463405522012177,3.1445336020234262
mech,0190,post_18,0190-00110,92.44357785018153,4.5663152213959695
mech,0190,post_18,0190-00111,55.66168581643747,4.084414230668025
mech,0190,post_18,0190-00113,54.63813909055851,4.067034719440222
mech,0190,post_18,0190-00114,115.13954010227418,4.77815649604785
mech,0190,post_18,0190-00116,82.58800577676388,4.458217108668838
mech,0350,post_18,0350-00002,57.05889776172042,4.107661178338257
mech,0350,post_18,0350-00003,61.46746524424296,4.177657426499052
mech,0350,post_18,0350-00005,21.118216863261793,3.2134072888413505
mech,0350,post_18,0350-00101,29.224261382096945,3.4955890867301855
mech,0350,post_18,0350-00102,160.28263547615109,5.100037622577024
mech,0350,post_18,0350-00103,86.37369430955513,4.501132541353002
mech,0350,post_18,0350-00105,64.05831050365644,4.216617552858506
mech,0350,post_18,0350-00106,114.470056789305,4.772509227136373
mech,0350,post_18,0350-00109,133.54079429245718,4.922068068559062
mech,0350,post_18,0350-00110,12.259589149347121,2.772903173796164
mech,0350,post_18,0350-00111,39.69087384149934,3.7712958817033257
mech,0350,post_18,0350-00112,57.76804573139256,4.1192564775617315
mech,0350,post_18,0350-00113,129.74286605007862,4.89401390034824
mech,0350,post_18,0350-00115,52.12799657604492,4.02308912310694
mech,0350,post_18,0350-00116,62.20420712266952,4.188891571936893
mech,0350,post_18,0350-00117,95.53476033299282,4.597946187627426
mech,0350,post_18,0350-00119,24.988762859969174,3.3580882502568254
mech,0490,post_18,0490-00004,29.03884679985551,3.48994942706426
mech,0490,post_18,0490-00008,181.65272166617282,5.222505753044178
mech,0490,post_18,0490-00018,65.7243888500088,4.240892582313558
mech,0490,post_18,0490-00020,66.60762550914797,4.253526398470294
mech,0490,post_18,0490-00033,53.117403143048726,4.040642157902448
mech,0490,post_18,0490-00035,17.811870315732467,3.070715117793045
mech,0490,post_18,0490-00041,58.24280506898519,4.126944817653512
mech,0490,post_18,0490-00042,25.474439261652577,3.3748493723763184
mech,0490,post_18,0490-00102,21.902426954249982,3.2444605202510006
mech,0490,post_18,0490-00103,23.666556225568698,3.3109808406083308
mech,0490,post_18,0490-00104,58.630713513505256,4.13318309306106
mech,0490,post_18,0490-00105,45.092632023779316,3.8885102318083065
mech,0490,post_18,0490-00110,69.59333700032603,4.295089525839971
mech,0490,post_18,0490-00115,49.46032014110577,3.974166717694576
mech,0490,post_18,0490-00117,13.987418210722623,2.8754194763511265
mech,0490,post_18,0490-00120,51.17083733535148,4.005809847397381
mech,0490,post_18,0490-00122,59.77540509190629,4.1513681663236826
mech,0490,post_18,0490-00124,46.88766930056837,3.924605752930224
mech,0490,post_18,0490-00125,56.620613015849464,4.1004269582660235
mech,0490,post_18,0490-00126,102.63860100015569,4.667055602004275
burn,0060,post_18,0060-00021,23.728138692551695,3.3132248723592745
burn,0060,post_18,0060-00027,16.535922426229508,3.009702498592338
burn,0060,post_18,0060-00101,64.95599125834484,4.229770074192676
burn,0060,post_18,0060-00102,212.7328820854662,5.377490426736141
burn,0060,post_18,0060-00103,26.607221024030103,3.412884285999911
burn,0060,post_18,0060-00104,16.525107817498526,3.009169127543065
burn,0060,post_18,0060-00105,24.472722404126333,3.339965929102105
burn,0060,post_18,0060-00106,68.5040330188196,4.28012507278624
burn,0060,post_18,0060-00107,43.48980843742357,3.855140463501213
burn,0060,post_18,0060-00109,46.10243076689871,3.908975840203699
burn,0060,post_18,0060-00111,111.82565337907417,4.749885892498738
burn,0060,post_18,0060-00112,18.46729666036353,3.1006659768571683
burn,0060,post_18,0060-00113,45.8065159873515,3.903021792871035
burn,0060,post_18,0060-00114,44.18290267026381,3.869707094256136
burn,0060,post_18,0060-00116,34.9915690861555,3.656795524204728
burn,0060,post_18,0060-00117,24.57559426702766,3.3436048901077706
burn,0060,post_18,0060-00119,47.34595528275587,3.9336161493693504
burn,0060,post_18,0060-00130,31.980613797777785,3.57588030110991
burn,0340,post_18,0340-00006,32.57721032076168,3.592441601379967
burn,0340,post_18,0340-00013,64.85816546669216,4.228345132960312
burn,0340,post_18,0340-00024,124.6818111562329,4.855362627477558
burn,0340,post_18,0340-00025,75.2773864931776,4.369736789959219
burn,0340,post_18,0340-00026,38.8937974745361,3.752774964061278
burn,0340,post_18,0340-00103,123.02853537748828,4.842405802048245
burn,0340,post_18,0340-00104,30.862548119262723,3.544084608748894
burn,0340,post_18,0340-00108,49.4951372517322,3.974820889756209
burn,0340,post_18,0340-00109,29.40493658083866,3.5010541629469003
burn,0340,post_18,0340-00111,102.9168219584833,4.6696674390100155
burn,0340,post_18,0340-00112,28.939050988811516,3.4869007714158844
burn,0340,post_18,0340-00113,52.90880037002633,4.03696688734684
burn,0340,post_18,0340-00114,116.30134804782517,4.787881591068838
burn,0340,post_18,0340-00115,46.58286599043022,3.9185677191330655
burn,0340,post_18,0340-00116,65.86057819260827,4.242851073071123
burn,0340,post_18,0340-00117,69.03344238297521,4.287425875354035
burn,0340,post_18,0340-00121,20.450718824961143,3.1861940127995143
burn,0340,post_18,0340-00122,51.98560776067771,4.020537453500532
burn,0340,post_18,0340-00123,5.261660788770827,2.1980135610563583
burn,0340,post_18,0340-00124,208.35577597590546,5.357063608100951
burn,0400,post_18,0400-00002,62.28755170583867,4.190154534874546
burn,0400,post_18,0400-00009,34.67589723679144,3.6486130370930527
burn,0400,post_18,0400-00022,24.58248643089847,3.3438482189569627
burn,0400,post_18,0400-00023,37.37102557288576,3.7164087332067477
burn,0400,post_18,0400-00024,51.90546508446119,4.019098392972778
burn,0400,post_18,0400-00101,16.644895696163392,3.0150611888055296
burn,0400,post_18,0400-00102,40.80059297159736,3.796523167651789
burn,0400,post_18,0400-00103,29.674700442855226,3.50915881129484
burn,0400,post_18,0400-00104,29.55959199251187,3.505708582529902
burn,0400,post_18,0400-00105,20.751659116135762,3.1985548241384523
burn,0400,post_18,0400-00106,11.884307700654922,2.749176185721983
burn,0400,post_18,0400-00108,20.322334141011712,3.180873892219949
burn,0400,post_18,0400-00109,27.247640008736134,3.4337640465360475
burn,0400,post_18,0400-00110,21.767190417143077,3.2391737523778485
burn,0400,post_18,0400-00112,23.665114205634534,3.3109282337969965
burn,0400,post_18,0400-00116,25.98038409694454,3.3920162626649084
burn,0400,post_18,0400-00118,32.84688502931587,3.5998385981058227
burn,0400,post_18,0400-00119,53.81300724603938,4.052800955192355
burn,0400,post_18,0400-00120,15.658318125434057,2.965466912852473
burn,0400,post_18,0400-00121,19.732120721291786,3.1560452241571513
mechburn,0180,post_18,0180-00004,8.942389813848708,2.540643477583352
mechburn,0180,post_18,0180-00008,52.70831301202186,4.033421822991696
mechburn,0180,post_18,0180-00010,10.184359449180329,2.6340305964387922
mechburn,0180,post_18,0180-00013,23.777666374763466,3.315025987840216
mechburn,0180,post_18,0180-00018,5.344395905579878,2.2071571712065716
mechburn,0180,post_18,0180-00101,19.986714427175123,3.1668309762967017
mechburn,0180,post_18,0180-00102,27.906316710676798,3.4547937419059216
mechburn,0180,post_18,0180-00107,12.454853992753243,2.785029566726581
mechburn,0180,post_18,0180-00108,15.512127528591783,2.9579042507111293
mechburn,0180,post_18,0180-00109,12.40378775501882,2.781872409010338
mechburn,0180,post_18,0180-00110,70.16695281785452,4.302880549808637
mechburn,0180,post_18,0180-00111,10.935592396829716,2.6865565427369935
mechburn,0180,post_18,0180-00114,15.661473457396566,2.965629514084281
mechburn,0180,post_18,0180-00117,29.794159681967212,3.5127269062545876
mechburn,0180,post_18,0180-00120,18.22818181967213,3.0898428562360527
mechburn,0180,post_18,0180-00121,29.82654847791038,3.5136921284041103
mechburn,0380,post_18,0380-00002,39.196677685925785,3.7598531753160964
mechburn,0380,post_18,0380-00004,31.581529865547132,3.5646467722264026
mechburn,0380,post_18,0380-00006,29.758300658193857,3.5116571795988345
mechburn,0380,post_18,0380-00010,13.300178917114824,2.835893383879703
mechburn,0380,post_18,0380-00015,7.191559947412893,2.3921517936529613
mechburn,0380,post_18,0380-00102,27.071012109542405,3.4280487997921143
mechburn,0380,post_18,0380-00103,13.25231728382104,2.8330815795225464
mechburn,0380,post_18,0380-00104,24.242272780740038,3.3317656870284167
mechburn,0380,post_18,0380-00107,3.745442866676175,2.0136870459917553
mechburn,0380,post_18,0380-00110,18.863329550339053,3.1183379910085405
mechburn,0380,post_18,0380-00112,33.1455290744211,3.607966858268753
mechburn,0380,post_18,0380-00113,13.8314458267429,2.866584896697715
mechburn,0380,post_18,0380-00114,15.915813536387674,2.978650019241877
mechburn,0380,post_18,0380-00117,20.685796051263612,3.1958625969571743
mechburn,0380,post_18,0380-00118,15.52920858088869,2.9587908361504756
mechburn,0380,post_18,0380-00119,10.856171799185962,2.681132116151476
mechburn,0380,post_18,0380-00120,34.653706955186145,3.648035319292918
mechburn,0380,post_18,0380-00125,14.404095865441644,2.8986451461795286
mechburn,0380,post_18,0380-00126,25.378954987807443,3.371576237147976
mechburn,0380,post_18,0380-00127,44.479439384487115,3.8758751171333072
mechburn,0570,post_18,0570-00011,55.77598023400695,4.086336299860698
mechburn,0570,post_18,0570-00013,51.657343839914674,4.014629894051168
mechburn,0570,post_18,0570-00017,27.81140830367365,3.4517907181974326
mechburn,0570,post_18,0570-00023,37.67780272617037,3.72384221100592
mechburn,0570,post_18,0570-00025,141.07855274090036,4.975519181744253
mechburn,0570,post_18,0570-00101,43.06111188387071,3.8460232518886563
mechburn,0570,post_18,0570-00102,35.75623078402868,3.676343041913375
mechburn,0570,post_18,0570-00103,22.40608076881789,3.2639074540332382
mechburn,0570,post_18,0570-00104,35.81643976430144,3.677866094878438
mechburn,0570,post_18,0570-00105,34.670675103260834,3.648477110328436
mechburn,0570,post_18,0570-00106,52.271860785272345,4.025660636791196
mechburn,0570,post_18,0570-00107,26.166942519004643,3.3982726215741903
mechburn,0570,post_18,0570-00110,65.95914646416422,4.244266159656822
mechburn,0570,post_18,0570-00111,49.26002561776528,3.970395087181265
mechburn,0570,post_18,0570-00112,29.969417533439426,3.51793870159116
mechburn,0570,post_18,0570-00113,109.57856328126985,4.73025102686078
mechburn,0570,post_18,0570-00115,27.395935424928382,3.4385374265568824
mechburn,0570,post_18,0570-00119,91.64169859230668,4.5579437838246
